user_id	country_code	signup_ts
10000000	IT	1552867200000
10000001	IT	1551571200000
10000002	SE	1554163200000
10000003	IT	1553644800000
10000004	IT	1554076800000
10000005	IT	1553817600000
10000006	IT	1554076800000
10000007	IT	1551830400000
10000008	IT	1553644800000
10000009	IT	1553558400000
10000010	SE	1552608000000
10000011	ES	1553040000000
10000012	GB	1552176000000
10000013	SE	1553040000000
10000014	IT	1552003200000
10000015	IT	1552780800000
10000016	SE	1553817600000
10000017	IT	1552262400000
10000018	IT	1552435200000
10000019	GB	1553817600000
10000020	GB	1553731200000
10000021	IT	1553126400000
10000022	ES	1553644800000
10000023	ES	1553817600000
10000024	ES	1552262400000
10000025	FR	1554163200000
10000026	GB	1553126400000
10000027	IT	1552176000000
10000028	GB	1553126400000
10000029	IT	1553904000000
10000030	SE	1553212800000
10000031	SE	1552867200000
10000032	ES	1553299200000
10000033	GB	1553385600000
10000034	IT	1553299200000
10000035	IT	1553644800000
10000036	GB	1552694400000
10000037	IT	1551571200000
10000038	GB	1552348800000
10000039	ES	1553904000000
10000040	IT	1553212800000
10000041	GB	1553817600000
10000042	IT	1551484800000
10000043	SE	1552521600000
10000044	IT	1553472000000
10000045	IT	1552262400000
10000046	ES	1552780800000
10000047	IT	1552435200000
10000048	IT	1552262400000
10000049	IT	1552867200000
10000050	SE	1553644800000
10000051	GB	1551744000000
10000052	IT	1552003200000
10000053	SE	1553731200000
10000054	IT	1552780800000
10000055	IT	1552608000000
10000056	IT	1553385600000
10000057	SE	1551830400000
10000058	IT	1552521600000
10000059	ES	1553817600000
10000060	SE	1553558400000
10000061	SE	1553385600000
10000062	IT	1553472000000
10000063	IT	1553472000000
10000064	SE	1553558400000
10000065	IT	1553472000000
10000066	ES	1553472000000
10000067	SE	1553731200000
10000068	IT	1552176000000
10000069	IT	1552867200000
10000070	IT	1552953600000
10000071	GB	1551484800000
10000072	GB	1553904000000
10000073	SE	1552435200000
10000074	IT	1552780800000
10000075	SE	1552003200000
10000076	IT	1552089600000
10000077	IT	1552953600000
10000078	SE	1553040000000
10000079	GB	1554163200000
10000080	GB	1552867200000
10000081	ES	1553731200000
10000082	GB	1552262400000
10000083	IT	1552953600000
10000084	IT	1552780800000
10000085	IT	1552780800000
10000086	IT	1553644800000
10000087	FR	1552435200000
10000088	SE	1552867200000
10000089	IT	1552694400000
10000090	IT	1552694400000
10000091	IT	1552435200000
10000092	ES	1551916800000
10000093	SE	1552953600000
10000094	GB	1553299200000
10000095	IT	1553731200000
10000096	IT	1553817600000
10000097	IT	1552608000000
10000098	ES	1552780800000
10000099	SE	1552608000000
10000100	GB	1551916800000
10000101	IT	1553817600000
10000102	GB	1552003200000
10000103	IT	1553644800000
10000104	ES	1552867200000
10000105	ES	1552348800000
10000106	SE	1552867200000
10000107	IT	1552348800000
10000108	SE	1552608000000
10000109	IT	1553040000000
10000110	IT	1553558400000
10000111	FR	1551571200000
10000112	IT	1551916800000
10000113	IT	1553904000000
10000114	SE	1552089600000
10000115	SE	1551744000000
10000116	IT	1553385600000
10000117	GB	1553558400000
10000118	IT	1552089600000
10000119	IT	1553212800000
10000120	IT	1553558400000
10000121	IT	1551744000000
10000122	SE	1552521600000
10000123	IT	1553817600000
10000124	IT	1552348800000
10000125	SE	1552953600000
10000126	GB	1553817600000
10000127	SE	1552867200000
10000128	IT	1552953600000
10000129	IT	1551571200000
10000130	GB	1551916800000
10000131	GB	1551571200000
10000132	FR	1553817600000
10000133	ES	1552694400000
10000134	GB	1553817600000
10000135	IT	1554163200000
10000136	GB	1553731200000
10000137	IT	1553472000000
10000138	SE	1552435200000
10000139	FR	1552953600000
10000140	GB	1553644800000
10000141	SE	1552003200000
10000142	IT	1552348800000
10000143	ES	1553212800000
10000144	GB	1553644800000
10000145	ES	1552867200000
10000146	GB	1551484800000
10000147	SE	1553126400000
10000148	GB	1552348800000
10000149	IT	1553040000000
10000150	IT	1552262400000
10000151	GB	1552262400000
10000152	SE	1553212800000
10000153	IT	1553817600000
10000154	IT	1552953600000
10000155	GB	1552521600000
10000156	IT	1553040000000
10000157	IT	1553731200000
10000158	ES	1552176000000
10000159	SE	1551830400000
10000160	SE	1553385600000
10000161	ES	1551830400000
10000162	ES	1551916800000
10000163	IT	1551830400000
10000164	IT	1553126400000
10000165	ES	1552521600000
10000166	GB	1553299200000
10000167	IT	1553385600000
10000168	SE	1552435200000
10000169	ES	1551744000000
10000170	GB	1552262400000
10000171	ES	1553990400000
10000172	SE	1552521600000
10000173	ES	1553126400000
10000174	ES	1552089600000
10000175	SE	1553817600000
10000176	GB	1552953600000
10000177	SE	1552435200000
10000178	IT	1553644800000
10000179	GB	1552867200000
10000180	FR	1554076800000
10000181	GB	1552953600000
10000182	GB	1553040000000
10000183	IT	1554076800000
10000184	SE	1553558400000
10000185	IT	1552608000000
10000186	ES	1553299200000
10000187	GB	1552435200000
10000188	SE	1552521600000
10000189	SE	1553472000000
10000190	GB	1554076800000
10000191	GB	1553472000000
10000192	SE	1552435200000
10000193	GB	1552521600000
10000194	IT	1553904000000
10000195	GB	1552953600000
10000196	IT	1551657600000
10000197	IT	1553385600000
10000198	GB	1551571200000
10000199	SE	1553126400000
10000200	SE	1552089600000
10000201	GB	1552089600000
10000202	IT	1553731200000
10000203	SE	1552694400000
10000204	ES	1553126400000
10000205	IT	1553817600000
10000206	IT	1553558400000
10000207	FR	1551916800000
10000208	IT	1552521600000
10000209	GB	1552521600000
10000210	IT	1552608000000
10000211	FR	1554163200000
10000212	FR	1553731200000
10000213	FR	1553126400000
10000214	IT	1553904000000
10000215	IT	1551830400000
10000216	GB	1551484800000
10000217	IT	1553040000000
10000218	ES	1553817600000
10000219	IT	1553644800000
10000220	SE	1553904000000
10000221	SE	1553558400000
10000222	IT	1552262400000
10000223	IT	1553040000000
10000224	IT	1553299200000
10000225	IT	1552867200000
10000226	SE	1551657600000
10000227	SE	1553212800000
10000228	FR	1554163200000
10000229	IT	1553472000000
10000230	IT	1552348800000
10000231	GB	1553385600000
10000232	IT	1552348800000
10000233	IT	1553212800000
10000234	GB	1553731200000
10000235	SE	1554076800000
10000236	SE	1554163200000
10000237	GB	1552780800000
10000238	IT	1552348800000
10000239	GB	1552867200000
10000240	IT	1552435200000
10000241	SE	1552608000000
10000242	GB	1553212800000
10000243	GB	1553212800000
10000244	SE	1552953600000
10000245	IT	1553817600000
10000246	FR	1551830400000
10000247	IT	1552521600000
10000248	IT	1552521600000
10000249	IT	1553644800000
10000250	IT	1553212800000
10000251	IT	1553731200000
10000252	GB	1553558400000
10000253	IT	1553126400000
10000254	GB	1552003200000
10000255	IT	1552608000000
10000256	SE	1553299200000
10000257	IT	1552348800000
10000258	SE	1553299200000
10000259	SE	1552953600000
10000260	ES	1552089600000
10000261	GB	1553644800000
10000262	IT	1553731200000
10000263	IT	1553731200000
10000264	IT	1552953600000
10000265	ES	1552694400000
10000266	IT	1553212800000
10000267	IT	1553472000000
10000268	IT	1553644800000
10000269	FR	1552867200000
10000270	IT	1552780800000
10000271	IT	1553299200000
10000272	SE	1552003200000
10000273	IT	1552694400000
10000274	IT	1553904000000
10000275	IT	1553558400000
10000276	IT	1553558400000
10000277	IT	1552867200000
10000278	ES	1553212800000
10000279	GB	1554163200000
10000280	GB	1553299200000
10000281	ES	1552176000000
10000282	ES	1553558400000
10000283	IT	1553644800000
10000284	SE	1553212800000
10000285	ES	1554076800000
10000286	SE	1551571200000
10000287	GB	1552176000000
