user_id	message_ts
10024239	1553986083696
10021388	1553197787973
10022286	1552931128388
10023459	1553519190682
10023112	1553967251566
10007735	1553595772165
10017420	1552472329171
10003047	1552933271823
10004313	1552671265983
10021388	1552683038011
10025775	1553358900999
10013423	1553373398424
10025801	1554035412360
10002424	1553794840806
10021596	1553184714171
10017949	1553785919898
10011961	1552473464334
10010305	1552640936056
10013651	1553851186318
10014740	1554017881542
10022696	1552183408087
10022863	1553453567060
10013650	1552937668785
10023679	1553499549087
10005693	1554136868831
10000071	1551539480985
10009360	1552255719744
10003348	1552124268877
10022471	1553265168764
10009833	1553981923811
10014947	1553590975420
10002424	1551821624358
10000455	1553789289459
10002121	1554166625366
10002424	1552370367930
10008603	1552743287805
10023146	1554120317042
10016604	1553892986380
10011143	1553767416449
10009605	1553179256293
10022456	1554203542719
10021396	1553622122755
10003082	1553891948950
10004964	1553503961296
10022426	1554310336224
10004199	1553944574627
10005501	1554221677298
10000863	1553711074335
10019719	1552434915629
10001543	1552662591548
10008424	1552458612972
10014715	1554293770789
10024239	1553986101464
10021814	1553881780868
10004545	1553422610549
10014556	1554101955514
10005940	1552066501059
10021077	1553530007997
10013304	1552128446969
10002843	1552599292281
10010590	1552686242563
10005844	1552302466046
10021378	1553939715648
10010965	1554260295963
10025178	1554137955368
10006353	1553668812404
10025006	1552854175652
10021629	1552395289363
10006603	1553607981045
10015736	1552584748273
10022863	1553465753069
10009844	1553202769523
10008110	1553256418615
10002204	1553794520970
10010238	1553329171955
10001358	1553721756844
10023602	1552452445247
10000898	1553324713884
10000534	1553090828353
10019738	1553578265124
10007336	1552756716414
10000963	1552076949477
10018691	1552700187464
10022883	1552718602186
10013712	1554028359283
10002491	1553621011486
10001067	1554223897414
10005965	1553881171208
10018710	1553377826471
10006994	1554074453482
10014579	1552317402376
10024468	1551849322307
10009833	1554151053236
10008459	1551726142445
10019589	1554242271293
10008627	1553186587439
10000534	1554129355693
10022059	1553622985048
10003965	1553377000287
10019697	1551713691322
10001390	1553109819683
10009353	1553991290624
10008631	1552737184057
10023477	1554242909799
10009523	1553583303208
10013213	1551561392436
10009250	1553124311179
10008434	1552915146672
10003607	1553878318283
10020241	1552943678035
10022700	1552725074586
10025447	1552415756205
10013546	1553560480066
10015065	1553994610198
10014484	1553850838913
10010675	1552221176621
10002092	1554290788852
10023222	1552565339918
10013934	1553089985891
10017997	1554203821585
10020861	1552057222449
10014993	1554095220911
10023888	1553884878601
10003143	1553440373372
10014564	1552987948339
10007467	1553099862506
10021434	1551643045470
10002299	1551977631780
10016523	1553400479439
10008110	1554047562193
10017336	1552051656132
10023593	1553186130258
10013879	1551876333241
10004529	1552655189414
10016154	1554142024109
10006730	1553283590423
10012126	1553517192498
10006603	1553267115857
10016370	1553618925279
10023022	1553609880616
10012126	1553517123191
10020220	1552333235049
10015458	1553752170715
10002362	1552986103741
10010514	1554274381296
10003547	1553694608208
10015065	1554178050126
10022168	1554322785172
10013546	1553693000606
10024680	1554294533180
10014430	1552335530014
10013514	1553031212400
10012522	1553826495190
10023593	1553635014097
10010530	1554231685955
